number_of_miners,mining_prod_level,beacon_1,beacon_2,beacon_3,rate_Q2,rate_Q1,rate_Q3,rate_Q4,rate_Q5,rate_voided
2,144,speed-3-Q5|speed-3-Q5,speed-2-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,60.23,490.76,6.02,0.6,0.07,497.45
2,145,speed-3-Q5|speed-3-Q5,speed-3-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,60.25,411.23,6.02,0.6,0.07,417.92
2,145,speed-2-Q5|speed-3-Q5,,,60.29,379.61,6.03,0.6,0.07,386.31
2,148,speed-3-Q5|speed-3-Q5,speed-1-Q5|efficiency-3-Q5,,60.34,411.81,6.03,0.6,0.07,418.51
2,148,speed-3-Q5|speed-3-Q5,speed-2-Q5|efficiency-3-Q5,,60.07,446.65,6.01,0.6,0.07,453.33
2,148,speed-2-Q5|speed-3-Q5,speed-2-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,60.34,448.7,6.03,0.6,0.07,455.4
2,149,speed-2-Q5|speed-3-Q5,speed-2-Q5|efficiency-3-Q5,,60.36,380.07,6.04,0.6,0.07,386.78
2,149,speed-3-Q5|speed-3-Q5,,,60.15,490.12,6.02,0.6,0.07,496.81
2,150,speed-2-Q5|speed-3-Q5,speed-3-Q5|speed-2-Q5,speed-2-Q5|efficiency-3-Q5,60.21,541.28,6.02,0.6,0.07,547.97
2,151,speed-3-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,,60.02,350.11,6,0.6,0.07,356.78
2,151,speed-2-Q5|speed-3-Q5,speed-2-Q5|speed-2-Q5,,60.31,491.39,6.03,0.6,0.07,498.09
2,152,speed-3-Q5|speed-3-Q5,speed-1-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,60.25,490.92,6.02,0.6,0.07,497.61
2,153,speed-2-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,60.03,377.99,6,0.6,0.07,384.66
2,153,speed-1-Q5|speed-3-Q5,,,60.3,351.77,6.03,0.6,0.07,358.47
2,154,speed-1-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,60.21,351.2,6.02,0.6,0.07,357.89
2,154,speed-2-Q5|speed-2-Q5,speed-2-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,60.07,410.03,6.01,0.6,0.07,416.71
2,155,speed-3-Q5|speed-3-Q5,speed-3-Q5|efficiency-3-Q5,,60.24,541.51,6.02,0.6,0.07,548.2
2,156,speed-2-Q5|speed-2-Q5,speed-2-Q5|efficiency-3-Q5,,60.21,326.63,6.02,0.6,0.07,333.32
2,156,speed-2-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,speed-2-Q5|efficiency-3-Q5,60.08,325.94,6.01,0.6,0.07,332.62
2,158,speed-3-Q5|speed-3-Q5,speed-3-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,60.2,601.95,6.02,0.6,0.07,608.64
2,161,speed-1-Q5|speed-3-Q5,speed-3-Q5|speed-3-Q5,speed-3-Q5|efficiency-3-Q5,60.11,675.27,6.01,0.6,0.07,681.95
2,161,speed-2-Q5|speed-3-Q5,speed-3-Q5|speed-2-Q5,,60.21,602.06,6.02,0.6,0.07,608.75
2,161,speed-2-Q5|speed-3-Q5,speed-3-Q5|speed-3-Q5,,60.24,676.81,6.02,0.6,0.07,683.5
2,164,speed-2-Q5|speed-2-Q5,,,60.22,326.67,6.02,0.6,0.07,333.36
2,168,speed-2-Q5|speed-3-Q5,speed-3-Q5|speed-3-Q5,speed-2-Q5|efficiency-3-Q5,60,674.08,6,0.6,0.07,680.75
2,170,speed-3-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,60.25,326.85,6.03,0.6,0.07,333.55
2,170,speed-1-Q5|speed-3-Q5,speed-3-Q5|speed-3-Q5,,60.24,676.81,6.02,0.6,0.07,683.5
2,173,speed-2-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,,60.29,327.04,6.03,0.6,0.07,333.74
2,175,speed-2-Q5|speed-2-Q5,speed-2-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,60.21,304.78,6.02,0.6,0.07,311.47
2,175,speed-2-Q5|speed-3-Q5,speed-3-Q5|speed-3-Q5,speed-3-Q5|efficiency-3-Q5,60.21,769.38,6.02,0.6,0.07,776.07
2,180,speed-3-Q5|efficiency-3-Q5,,,60.01,303.76,6,0.6,0.07,310.43
2,182,speed-1-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,,60.18,304.63,6.02,0.6,0.07,311.32
2,182,speed-2-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,60.1,284.67,6.01,0.6,0.07,291.35
2,193,speed-2-Q5|speed-3-Q5,speed-3-Q5|speed-2-Q5,speed-2-Q5|speed-3-Q5,60.19,888.58,6.02,0.6,0.07,895.27
2,194,speed-1-Q5|speed-1-Q5,,,60.29,267.96,6.03,0.6,0.07,274.66
2,195,speed-2-Q5|efficiency-3-Q5,speed-2-Q5|efficiency-3-Q5,,60.17,285.04,6.02,0.6,0.07,291.73
2,203,speed-1-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,60.18,285.06,6.02,0.6,0.07,291.75
2,210,speed-2-Q5|speed-3-Q5,speed-3-Q5|speed-2-Q5,speed-3-Q5|speed-3-Q5,60.19,1047.83,6.02,0.6,0.07,1054.52
2,214,speed-3-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,,60.21,267.6,6.02,0.6,0.07,274.29
2,217,speed-2-Q5|efficiency-3-Q5,speed-2-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,60.21,267.58,6.02,0.6,0.07,274.27
2,218,speed-1-Q5|speed-3-Q5,speed-2-Q5|speed-3-Q5,speed-3-Q5|speed-3-Q5,60.19,1047.7,6.02,0.6,0.07,1054.39
2,229,speed-2-Q5|efficiency-3-Q5,,,60.05,251.01,6.01,0.6,0.07,257.69
2,236,speed-1-Q5|efficiency-3-Q5,speed-2-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,60.2,251.62,6.02,0.6,0.07,258.31
2,239,speed-1-Q5|efficiency-3-Q5,speed-1-Q5|efficiency-3-Q5,,60,250.78,6,0.6,0.07,257.45
2,262,speed-1-Q5|efficiency-3-Q5,speed-1-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,60.1,236.75,6.01,0.6,0.07,243.43
2,277,speed-2-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,,60.03,236.46,6,0.6,0.07,243.13
2,287,speed-1-Q5|efficiency-3-Q5,,,60.07,236.65,6.01,0.6,0.07,243.33
1,296,speed-3-Q5|speed-3-Q5,speed-2-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,60.03,489.16,6,0.6,0.07,495.83
2,296,speed-3-Q5|speed-3-Q5,speed-2-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,120.07,978.32,12.01,1.2,0.13,991.66
1,298,speed-3-Q5|speed-3-Q5,speed-3-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,60.05,409.89,6.01,0.6,0.07,416.57
1,298,speed-2-Q5|speed-3-Q5,,,60.1,378.38,6.01,0.6,0.07,385.06
2,298,speed-3-Q5|speed-3-Q5,speed-3-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,120.11,819.78,12.01,1.2,0.13,833.12
2,298,speed-2-Q5|speed-3-Q5,,,120.19,756.76,12.02,1.2,0.13,770.11
1,304,speed-3-Q5|speed-3-Q5,speed-1-Q5|efficiency-3-Q5,,60.14,410.5,6.01,0.6,0.07,417.18
1,304,speed-2-Q5|speed-3-Q5,speed-2-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,60.15,447.27,6.01,0.6,0.07,453.95
2,304,speed-3-Q5|speed-3-Q5,speed-1-Q5|efficiency-3-Q5,,120.29,821,12.03,1.2,0.13,834.36
2,304,speed-2-Q5|speed-3-Q5,speed-2-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,120.3,894.54,12.03,1.2,0.13,907.9
1,305,speed-3-Q5|speed-3-Q5,speed-2-Q5|efficiency-3-Q5,,60.07,446.65,6.01,0.6,0.07,453.33
2,305,speed-3-Q5|speed-3-Q5,speed-2-Q5|efficiency-3-Q5,,120.13,893.3,12.01,1.2,0.13,906.64
1,306,speed-2-Q5|speed-3-Q5,speed-2-Q5|efficiency-3-Q5,,60.17,378.87,6.02,0.6,0.07,385.56
2,306,speed-2-Q5|speed-3-Q5,speed-2-Q5|efficiency-3-Q5,,120.35,757.73,12.03,1.2,0.13,771.09
1,307,speed-3-Q5|speed-3-Q5,,,60.15,490.12,6.02,0.6,0.07,496.81
2,307,speed-3-Q5|speed-3-Q5,,,120.3,980.23,12.03,1.2,0.13,993.59
1,308,speed-2-Q5|speed-3-Q5,speed-3-Q5|speed-2-Q5,speed-2-Q5|efficiency-3-Q5,60.02,539.57,6,0.6,0.07,546.24
2,308,speed-2-Q5|speed-3-Q5,speed-3-Q5|speed-2-Q5,speed-2-Q5|efficiency-3-Q5,120.04,1079.15,12,1.2,0.13,1092.48
1,310,speed-2-Q5|speed-3-Q5,speed-2-Q5|speed-2-Q5,,60.12,489.86,6.01,0.6,0.07,496.54
2,310,speed-2-Q5|speed-3-Q5,speed-2-Q5|speed-2-Q5,,120.24,979.71,12.02,1.2,0.13,993.06
1,311,speed-3-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,,60.02,350.11,6,0.6,0.07,356.78
2,311,speed-3-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,,120.04,700.22,12,1.2,0.13,713.55
1,312,speed-3-Q5|speed-3-Q5,speed-1-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,60.06,489.4,6.01,0.6,0.07,496.08
2,312,speed-3-Q5|speed-3-Q5,speed-1-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,120.12,978.79,12.01,1.2,0.13,992.13
1,314,speed-1-Q5|speed-3-Q5,,,60.12,350.68,6.01,0.6,0.07,357.36
2,314,efficiency-3-Q5,speed-2-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,60.12,236.82,6.01,0.6,0.07,243.5
2,314,speed-1-Q5|speed-3-Q5,,,120.23,701.36,12.02,1.2,0.13,714.71
1,315,speed-2-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,60.03,377.99,6,0.6,0.07,384.66
2,315,speed-2-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,120.07,755.97,12.01,1.2,0.13,769.31
1,316,speed-1-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,60.02,350.12,6,0.6,0.07,356.79
2,316,speed-1-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,120.04,700.24,12,1.2,0.13,713.57
1,317,speed-2-Q5|speed-2-Q5,speed-2-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,60.07,410.03,6.01,0.6,0.07,416.71
2,317,speed-2-Q5|speed-2-Q5,speed-2-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,120.15,820.05,12.01,1.2,0.13,833.39
1,318,speed-3-Q5|speed-3-Q5,speed-3-Q5|efficiency-3-Q5,,60.05,539.86,6.01,0.6,0.07,546.54
2,318,speed-3-Q5|speed-3-Q5,speed-3-Q5|efficiency-3-Q5,,120.1,1079.72,12.01,1.2,0.13,1093.06
1,320,speed-2-Q5|speed-2-Q5,speed-2-Q5|efficiency-3-Q5,,60.03,325.64,6,0.6,0.07,332.31
