number_of_miners,mining_prod_level,beacon_1,beacon_2,beacon_3,rate_Q2,rate_Q1,rate_Q1,rate_Q1,rate_Q1,rate_voided
1,1271,speed-3-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,,240.08,1400.45,24.01,2.4,0.27,1427.13
1,1281,speed-1-Q5|speed-3-Q5,,,240.09,1400.55,24.01,2.4,0.27,1427.23
1,1291,speed-1-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,240.08,1400.49,24.01,2.4,0.27,1427.17
1,1307,speed-2-Q5|speed-2-Q5,speed-2-Q5|efficiency-3-Q5,,240.11,1302.54,24.01,2.4,0.27,1329.22
1,1310,speed-2-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,speed-2-Q5|efficiency-3-Q5,240.15,1302.78,24.02,2.4,0.27,1329.47
1,1370,speed-2-Q5|speed-2-Q5,,,240,1301.95,24,2.4,0.27,1328.62
1,1417,speed-3-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,240,1301.94,24,2.4,0.27,1328.61
1,1441,speed-2-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,,240.15,1302.79,24.02,2.4,0.27,1329.48
1,1458,speed-2-Q5|speed-2-Q5,speed-2-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,240.03,1214.97,24,2.4,0.27,1241.64
1,1503,speed-3-Q5|efficiency-3-Q5,,,240.05,1215.04,24,2.4,0.27,1241.71
1,1515,speed-1-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,,240.1,1215.31,24.01,2.4,0.27,1241.99
1,1517,speed-2-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,240.07,1137.18,24.01,2.4,0.27,1163.86
1,1608,speed-1-Q5|speed-1-Q5,,,240.12,1067.22,24.01,2.4,0.27,1093.9
1,1619,speed-2-Q5|efficiency-3-Q5,speed-2-Q5|efficiency-3-Q5,,240.11,1137.36,24.01,2.4,0.27,1164.04
1,1682,speed-1-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,240,1136.86,24,2.4,0.27,1163.53
1,1769,speed-3-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,,240.03,1066.8,24,2.4,0.27,1093.47
1,1793,speed-2-Q5|efficiency-3-Q5,speed-2-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,240.03,1066.78,24,2.4,0.27,1093.45
1,1894,speed-2-Q5|efficiency-3-Q5,,,240.08,1003.5,24.01,2.4,0.27,1030.18
1,1945,speed-1-Q5|efficiency-3-Q5,speed-2-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,240.05,1003.38,24,2.4,0.27,1030.05
1,1976,speed-1-Q5|efficiency-3-Q5,speed-1-Q5|efficiency-3-Q5,,240.11,1003.62,24.01,2.4,0.27,1030.3
1,2156,speed-1-Q5|efficiency-3-Q5,speed-1-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,240.06,945.67,24.01,2.4,0.27,972.35
1,2278,speed-2-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,,240,945.45,24,2.4,0.27,972.12
1,2357,speed-1-Q5|efficiency-3-Q5,,,240.09,945.81,24.01,2.4,0.27,972.49
1,2570,efficiency-3-Q5,speed-2-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,240,945.46,24,2.4,0.27,972.13
1,2752,speed-1-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,,240.04,892.91,24,2.4,0.27,919.58
1,3043,efficiency-3-Q5,speed-1-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,240.07,893.02,24.01,2.4,0.27,919.7
1,5325,efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,,240.03,800.1,24,2.4,0.27,826.77
2,631,speed-3-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,,240.08,1400.45,24.01,2.4,0.27,1427.13
2,636,speed-1-Q5|speed-3-Q5,,,240.09,1400.55,24.01,2.4,0.27,1427.23
2,641,speed-1-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,240.08,1400.49,24.01,2.4,0.27,1427.17
2,649,speed-2-Q5|speed-2-Q5,speed-2-Q5|efficiency-3-Q5,,240.11,1302.54,24.01,2.4,0.27,1329.22
2,651,speed-2-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,speed-2-Q5|efficiency-3-Q5,240.33,1303.76,24.03,2.4,0.27,1330.46
2,681,speed-2-Q5|speed-2-Q5,,,240.17,1302.89,24.02,2.4,0.27,1329.58
