number_of_miners,mining_prod_level,beacon_1,beacon_2,beacon_3,rate_Q2,rate_Q1,rate_Q3,rate_Q4,rate_Q5,rate_voided
4,373,speed-3-Q5|speed-3-Q5,speed-2-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,60.15,490.12,6.02,0.6,0.07,496.81
4,375,speed-3-Q5|speed-3-Q5,speed-3-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,60.09,410.16,6.01,0.6,0.07,416.84
4,375,speed-2-Q5|speed-3-Q5,,,60.13,378.62,6.01,0.6,0.07,385.3
4,382,speed-3-Q5|speed-3-Q5,speed-1-Q5|efficiency-3-Q5,,60.1,410.24,6.01,0.6,0.07,416.92
4,382,speed-2-Q5|speed-3-Q5,speed-2-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,60.11,446.98,6.01,0.6,0.07,453.66
4,384,speed-2-Q5|speed-3-Q5,speed-2-Q5|efficiency-3-Q5,,60.06,378.14,6.01,0.6,0.07,384.82
4,384,speed-3-Q5|speed-3-Q5,speed-2-Q5|efficiency-3-Q5,,60.14,447.22,6.01,0.6,0.07,453.9
4,385,speed-3-Q5|speed-3-Q5,,,60,488.88,6,0.6,0.07,495.55
4,388,speed-2-Q5|speed-3-Q5,speed-3-Q5|speed-2-Q5,speed-2-Q5|efficiency-3-Q5,60.13,540.59,6.01,0.6,0.07,547.27
4,389,speed-2-Q5|speed-3-Q5,speed-2-Q5|speed-2-Q5,,60.01,488.94,6,0.6,0.07,495.61
4,391,speed-3-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,,60.02,350.11,6,0.6,0.07,356.78
4,392,speed-3-Q5|speed-3-Q5,speed-1-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,60.02,489.09,6,0.6,0.07,495.76
4,394,speed-1-Q5|speed-3-Q5,,,60.01,350.03,6,0.6,0.07,356.7
4,396,speed-2-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,60.03,377.99,6,0.6,0.07,384.66
4,398,speed-1-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,60.13,350.77,6.01,0.6,0.07,357.45
4,398,speed-2-Q5|speed-2-Q5,speed-2-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,60,409.52,6,0.6,0.07,416.19
4,400,speed-3-Q5|speed-3-Q5,speed-3-Q5|efficiency-3-Q5,,60.09,540.19,6.01,0.6,0.07,546.87
4,403,speed-2-Q5|speed-2-Q5,speed-2-Q5|efficiency-3-Q5,,60.14,326.23,6.01,0.6,0.07,332.91
4,403,speed-2-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,speed-2-Q5|efficiency-3-Q5,60.01,325.55,6,0.6,0.07,332.22
4,408,speed-3-Q5|speed-3-Q5,speed-3-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,60.12,601.23,6.01,0.6,0.07,607.91
4,415,speed-2-Q5|speed-3-Q5,speed-3-Q5|speed-2-Q5,,60.06,600.64,6.01,0.6,0.07,607.32
4,415,speed-2-Q5|speed-3-Q5,speed-3-Q5|speed-3-Q5,,60.1,675.22,6.01,0.6,0.07,681.9
4,416,speed-1-Q5|speed-3-Q5,speed-3-Q5|speed-3-Q5,speed-3-Q5|efficiency-3-Q5,60.11,675.27,6.01,0.6,0.07,681.95
4,422,speed-2-Q5|speed-2-Q5,,,60.01,325.53,6,0.6,0.07,332.2
4,434,speed-2-Q5|speed-3-Q5,speed-3-Q5|speed-3-Q5,speed-2-Q5|efficiency-3-Q5,60.07,674.84,6.01,0.6,0.07,681.52
4,437,speed-3-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,60.05,325.76,6,0.6,0.07,332.43
4,437,speed-1-Q5|speed-3-Q5,speed-3-Q5|speed-3-Q5,,60.04,674.54,6,0.6,0.07,681.21
4,444,speed-2-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,,60.02,325.61,6,0.6,0.07,332.28
4,450,speed-2-Q5|speed-2-Q5,speed-2-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,60.08,304.12,6.01,0.6,0.07,310.8
4,450,speed-2-Q5|speed-3-Q5,speed-3-Q5|speed-3-Q5,speed-3-Q5|efficiency-3-Q5,60.08,767.71,6.01,0.6,0.07,774.39
4,464,speed-3-Q5|efficiency-3-Q5,,,60.07,304.08,6.01,0.6,0.07,310.76
4,468,speed-1-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,,60.12,304.31,6.01,0.6,0.07,310.99
4,468,speed-2-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,60.03,284.37,6,0.6,0.07,291.04
4,495,speed-2-Q5|speed-3-Q5,speed-3-Q5|speed-2-Q5,speed-2-Q5|speed-3-Q5,60.07,886.82,6.01,0.6,0.07,893.5
4,497,speed-1-Q5|speed-1-Q5,,,60.11,267.17,6.01,0.6,0.07,273.85
3,500,speed-3-Q5|speed-3-Q5,speed-2-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,60.11,489.8,6.01,0.6,0.07,496.48
4,500,speed-2-Q5|efficiency-3-Q5,speed-2-Q5|efficiency-3-Q5,,60.06,284.48,6.01,0.6,0.07,291.16
3,502,speed-2-Q5|speed-3-Q5,,,60.02,377.88,6,0.6,0.07,384.55
3,503,speed-3-Q5|speed-3-Q5,speed-3-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,60.09,410.16,6.01,0.6,0.07,416.84
3,512,speed-3-Q5|speed-3-Q5,speed-1-Q5|efficiency-3-Q5,,60.07,409.97,6.01,0.6,0.07,416.65
3,512,speed-2-Q5|speed-3-Q5,speed-2-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,60.07,446.7,6.01,0.6,0.07,453.38
3,514,speed-3-Q5|speed-3-Q5,speed-2-Q5|efficiency-3-Q5,,60.03,446.36,6,0.6,0.07,453.03
3,515,speed-2-Q5|speed-3-Q5,speed-2-Q5|efficiency-3-Q5,,60.06,378.14,6.01,0.6,0.07,384.82
3,517,speed-3-Q5|speed-3-Q5,,,60.07,489.5,6.01,0.6,0.07,496.18
3,520,speed-2-Q5|speed-3-Q5,speed-3-Q5|speed-2-Q5,speed-2-Q5|efficiency-3-Q5,60.1,540.25,6.01,0.6,0.07,546.93
4,520,speed-1-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,60.06,284.52,6.01,0.6,0.07,291.2
3,522,speed-2-Q5|speed-3-Q5,speed-2-Q5|speed-2-Q5,,60.04,489.24,6,0.6,0.07,495.91
3,525,speed-3-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,,60.09,350.55,6.01,0.6,0.07,357.23
3,526,speed-3-Q5|speed-3-Q5,speed-1-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,60.06,489.4,6.01,0.6,0.07,496.08
3,529,speed-1-Q5|speed-3-Q5,,,60.08,350.46,6.01,0.6,0.07,357.14
3,531,speed-2-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,60.03,377.99,6,0.6,0.07,384.66
3,533,speed-1-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,60.06,350.34,6.01,0.6,0.07,357.02
3,534,speed-2-Q5|speed-2-Q5,speed-2-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,60.04,409.77,6,0.6,0.07,416.44
3,536,speed-3-Q5|speed-3-Q5,speed-3-Q5|efficiency-3-Q5,,60.05,539.86,6.01,0.6,0.07,546.54
4,537,speed-2-Q5|speed-3-Q5,speed-3-Q5|speed-2-Q5,speed-3-Q5|speed-3-Q5,60.03,1044.96,6,0.6,0.07,1051.63
3,540,speed-2-Q5|speed-2-Q5,speed-2-Q5|efficiency-3-Q5,,60.1,326.03,6.01,0.6,0.07,332.71
3,541,speed-2-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,speed-2-Q5|efficiency-3-Q5,60.08,325.94,6.01,0.6,0.07,332.62
3,546,speed-3-Q5|speed-3-Q5,speed-3-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,60.01,600.15,6,0.6,0.07,606.82
