number_of_miners,mining_prod_level,beacon_1,beacon_2,beacon_3,rate_Q2,rate_Q1,rate_Q1,rate_Q1,rate_Q1,rate_voided
1,11817,speed-1-Q5|efficiency-3-Q5,,,240.01,945.49,24,2.4,0.27,972.16
1,9503,speed-2-Q5|efficiency-3-Q5,,,240,1003.18,24,2.4,0.27,1029.85
1,8880,speed-3-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,,240,1066.68,24,2.4,0.27,1093.3500000000001
1,7550,speed-3-Q5|efficiency-3-Q5,,,240.01,1214.88,24,2.4,0.27,1241.5500000000002
1,7608,speed-1-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,,240,1214.84,24,2.4,0.27,1241.51
1,7237,speed-2-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,,240.02,1302.07,24,2.4,0.27,1328.74
1,7121,speed-3-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,240,1301.94,24,2.4,0.27,1328.6100000000001
1,6389,speed-3-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,,240,1400.01,24,2.4,0.27,1426.68
1,6489,speed-1-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,240.01,1400.06,24,2.4,0.27,1426.73
1,6439,speed-1-Q5|speed-3-Q5,,,240.02,1400.12,24,2.4,0.27,1426.79
1,6568,speed-2-Q5|speed-2-Q5,speed-2-Q5|efficiency-3-Q5,,240,1301.95,24,2.4,0.27,1328.6200000000001
1,9912,speed-1-Q5|efficiency-3-Q5,speed-1-Q5|efficiency-3-Q5,,240.01,1003.21,24,2.4,0.27,1029.88
1,8446,speed-1-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,240,1136.86,24,2.4,0.27,1163.53
1,7325,speed-2-Q5|speed-2-Q5,speed-2-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,240,1214.8,24,2.4,0.27,1241.47
1,6582,speed-2-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,speed-2-Q5|efficiency-3-Q5,240,1301.99,24,2.4,0.27,1328.66
1,8072,speed-1-Q5|speed-1-Q5,,,240.01,1066.69,24,2.4,0.27,1093.3600000000001
1,8128,speed-2-Q5|efficiency-3-Q5,speed-2-Q5|efficiency-3-Q5,,240.02,1136.94,24,2.4,0.27,1163.6100000000001
1,7619,speed-2-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,240.01,1136.88,24,2.4,0.27,1163.5500000000002
1,6886,speed-2-Q5|speed-2-Q5,,,240,1301.95,24,2.4,0.27,1328.6200000000001
1,26658,efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,,240,800.01,24,2.4,0.27,826.68
1,13794,speed-1-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,,240.01,892.78,24,2.4,0.27,919.4499999999999
1,11426,speed-2-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,,240,945.45,24,2.4,0.27,972.12
1,9759,speed-1-Q5|efficiency-3-Q5,speed-2-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,240,1003.17,24,2.4,0.27,1029.8400000000001
1,10814,speed-1-Q5|efficiency-3-Q5,speed-1-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,240.01,945.5,24,2.4,0.27,972.17
1,9000,speed-2-Q5|efficiency-3-Q5,speed-2-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,240,1066.67,24,2.4,0.27,1093.3400000000001
1,15247,efficiency-3-Q5,speed-1-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,240.01,892.78,24,2.4,0.27,919.4499999999999
