number_of_miners,mining_prod_level,beacon_1,beacon_2,beacon_3,rate_Q2,rate_Q1,rate_Q3,rate_Q4,rate_Q5,rate_voided
1,296,speed-3-Q5|speed-3-Q5,speed-2-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,60.03,489.16,6,0.6,0.07,495.83
1,298,speed-3-Q5|speed-3-Q5,speed-3-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,60.05,409.89,6.01,0.6,0.07,416.57
1,298,speed-2-Q5|speed-3-Q5,,,60.1,378.38,6.01,0.6,0.07,385.06
1,304,speed-3-Q5|speed-3-Q5,speed-1-Q5|efficiency-3-Q5,,60.14,410.5,6.01,0.6,0.07,417.18
1,304,speed-2-Q5|speed-3-Q5,speed-2-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,60.15,447.27,6.01,0.6,0.07,453.95
1,305,speed-3-Q5|speed-3-Q5,speed-2-Q5|efficiency-3-Q5,,60.07,446.65,6.01,0.6,0.07,453.33
1,306,speed-2-Q5|speed-3-Q5,speed-2-Q5|efficiency-3-Q5,,60.17,378.87,6.02,0.6,0.07,385.56
1,307,speed-3-Q5|speed-3-Q5,,,60.15,490.12,6.02,0.6,0.07,496.81
1,308,speed-2-Q5|speed-3-Q5,speed-3-Q5|speed-2-Q5,speed-2-Q5|efficiency-3-Q5,60.02,539.57,6,0.6,0.07,546.24
1,310,speed-2-Q5|speed-3-Q5,speed-2-Q5|speed-2-Q5,,60.12,489.86,6.01,0.6,0.07,496.54
1,311,speed-3-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,,60.02,350.11,6,0.6,0.07,356.78
1,312,speed-3-Q5|speed-3-Q5,speed-1-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,60.06,489.4,6.01,0.6,0.07,496.08
1,314,speed-1-Q5|speed-3-Q5,,,60.12,350.68,6.01,0.6,0.07,357.36
1,315,speed-2-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,60.03,377.99,6,0.6,0.07,384.66
1,316,speed-1-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,60.02,350.12,6,0.6,0.07,356.79
1,317,speed-2-Q5|speed-2-Q5,speed-2-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,60.07,410.03,6.01,0.6,0.07,416.71
1,318,speed-3-Q5|speed-3-Q5,speed-3-Q5|efficiency-3-Q5,,60.05,539.86,6.01,0.6,0.07,546.54
1,320,speed-2-Q5|speed-2-Q5,speed-2-Q5|efficiency-3-Q5,,60.03,325.64,6,0.6,0.07,332.31
1,321,speed-2-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,speed-2-Q5|efficiency-3-Q5,60.08,325.94,6.01,0.6,0.07,332.62
1,324,speed-3-Q5|speed-3-Q5,speed-3-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,60.01,600.15,6,0.6,0.07,606.82
1,330,speed-2-Q5|speed-3-Q5,speed-3-Q5|speed-2-Q5,,60.03,600.28,6,0.6,0.07,606.95
1,330,speed-2-Q5|speed-3-Q5,speed-3-Q5|speed-3-Q5,,60.07,674.82,6.01,0.6,0.07,681.5
1,331,speed-1-Q5|speed-3-Q5,speed-3-Q5|speed-3-Q5,speed-3-Q5|efficiency-3-Q5,60.11,675.27,6.01,0.6,0.07,681.95
1,336,speed-2-Q5|speed-2-Q5,,,60.04,325.72,6,0.6,0.07,332.39
1,345,speed-2-Q5|speed-3-Q5,speed-3-Q5|speed-3-Q5,speed-2-Q5|efficiency-3-Q5,60,674.08,6,0.6,0.07,680.75
1,348,speed-3-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,60.08,325.94,6.01,0.6,0.07,332.62
1,348,speed-1-Q5|speed-3-Q5,speed-3-Q5|speed-3-Q5,,60.08,674.92,6.01,0.6,0.07,681.6
1,354,speed-2-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,,60.12,326.15,6.01,0.6,0.07,332.83
1,358,speed-2-Q5|speed-2-Q5,speed-2-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,60.05,303.95,6,0.6,0.07,310.62
1,358,speed-2-Q5|speed-3-Q5,speed-3-Q5|speed-3-Q5,speed-3-Q5|efficiency-3-Q5,60.05,767.29,6,0.6,0.07,773.96
1,369,speed-3-Q5|efficiency-3-Q5,,,60.01,303.76,6,0.6,0.07,310.43
1,372,speed-1-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,,60.02,303.83,6,0.6,0.07,310.5
1,373,speed-2-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,60.1,284.67,6.01,0.6,0.07,291.35
