number_of_miners,mining_prod_level,beacon_1,beacon_2,beacon_3,rate_Q2,rate_Q1,rate_Q3,rate_Q4,rate_Q5,rate_voided
1,1516,speed-3-Q5|speed-3-Q5,speed-2-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,60.03,489.16,6,0.6,0.07,495.83
1,1524,speed-2-Q5|speed-3-Q5,,,60.02,377.88,6,0.6,0.07,384.55
1,1525,speed-3-Q5|speed-3-Q5,speed-3-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,60.01,409.62,6,0.6,0.07,416.29
1,1552,speed-2-Q5|speed-3-Q5,speed-2-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,60,446.13,6,0.6,0.07,452.8
1,1553,speed-3-Q5|speed-3-Q5,speed-1-Q5|efficiency-3-Q5,,60.03,409.71,6,0.6,0.07,416.38
1,1560,speed-3-Q5|speed-3-Q5,speed-2-Q5|efficiency-3-Q5,,60.03,446.36,6,0.6,0.07,453.03
1,1562,speed-2-Q5|speed-3-Q5,speed-2-Q5|efficiency-3-Q5,,60.02,377.9,6,0.6,0.07,384.57
1,1567,speed-3-Q5|speed-3-Q5,,,60,488.88,6,0.6,0.07,495.55
1,1576,speed-2-Q5|speed-3-Q5,speed-3-Q5|speed-2-Q5,speed-2-Q5|efficiency-3-Q5,60.02,539.57,6,0.6,0.07,546.24
1,1583,speed-2-Q5|speed-3-Q5,speed-2-Q5|speed-2-Q5,,60.01,488.94,6,0.6,0.07,495.61
1,1591,speed-3-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,,60.02,350.11,6,0.6,0.07,356.78
1,1595,speed-3-Q5|speed-3-Q5,speed-1-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,60.02,489.09,6,0.6,0.07,495.76
1,1603,speed-1-Q5|speed-3-Q5,,,60.01,350.03,6,0.6,0.07,356.7
1,1610,speed-2-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,60,377.75,6,0.6,0.07,384.42
